"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MPRIP",1.12908851299234e-06,0.354788452235292,0.167,0.093,0.0482640175763705
"IGHV3-7",1.13330901022397e-06,0.909689697508178,0.043,0.014,0.048444426951034
"RAB10",1.13611965934548e-06,0.106011616877912,0.652,0.468,0.0485645709583817
"SRMS",1.13627962747909e-06,2.41841371519445,0.019,0.004,0.0485714089562211
"CHAF1A",1.13700110990697e-06,-2.18754070940842,0.036,0.108,0.0486022494440834
"PODXL",1.1422644581924e-06,0.642007109243511,0.133,0.071,0.0488272365298925
"PXDN",1.14243165966303e-06,-1.26901201110276,0.162,0.254,0.0488343837239557
"IGHA1",1.1428376982878e-06,0.510575977752487,0.093,0.043,0.0488517402510102
"FUK",1.14362986532538e-06,1.07986072094935,0.055,0.02,0.0488856022231988
"NBPF12",1.14861017787076e-06,0.65252246809363,0.083,0.037,0.0490984906632634
"SBF1",1.15091098254398e-06,0.624253039893861,0.088,0.04,0.0491968408598251
"PHETA2",1.15362077726846e-06,-3.46529771798854,0.007,0.066,0.0493126737451176
"KIFAP3",1.15538879456544e-06,0.366689755846018,0.238,0.148,0.0493882494124945
"AC007009.1",1.15678863542984e-06,1.68888841543279,0.029,0.008,0.0494480870100838
"MED12",1.16950106433623e-06,0.798500921473976,0.081,0.036,0.0499914924961166
"UNC5B",1.177893776367e-06,-2.48548363231768,0.014,0.078,0.0503502473645838
"NBPF20",1.18127950783161e-06,1.33253044777365,0.05,0.018,0.0504949738417699
"ZNF433",1.18291840840646e-06,1.00567452876972,0.069,0.029,0.0505650302857425
"ABHD17C",1.18606863271578e-06,-1.97681845805139,0.064,0.144,0.0506996897740688
"GNA15",1.19116322839749e-06,0.332424391348852,0.179,0.102,0.0509174633610789
"SOSTDC1",1.19213403288409e-06,-4.51844441830641,0.005,0.062,0.0509589613696632
"ADAM9",1.19402773280077e-06,0.389014252488947,0.169,0.095,0.0510399094663018
"PGRMC1",1.19405062413616e-06,-0.533228987529105,0.721,0.707,0.0510408879793244
"CHMP4C",1.19827172599739e-06,-1.13462018339978,0.214,0.304,0.0512213231994846
"PHF7",1.20355003000708e-06,0.951230584767306,0.081,0.036,0.0514469495826826
"LRRC27",1.211404532519e-06,1.23499071845252,0.067,0.027,0.0517826981470571
"RXYLT1",1.21429742255705e-06,-1.33086276039675,0.024,0.094,0.0519063576246236
"RAB11FIP5",1.21707056722823e-06,0.615463078521286,0.102,0.049,0.0520248984667381
"NOD2",1.21896486203381e-06,-3.44919984938547,0.012,0.073,0.0521058719924974
"SIK2",1.2283902751765e-06,0.955378845722648,0.107,0.053,0.0525087707026947
"AL118516.1",1.23937949480644e-06,-2.34664073464556,0.021,0.088,0.0529785158849962
"PRPS2",1.24174135726925e-06,-1.37073772808617,0.198,0.283,0.0530794760578312
"FBXL17",1.26495289431195e-06,0.467654990551882,0.083,0.037,0.0540716764202586
"MIR194-2HG",1.26878886023756e-06,2.25056424319382,0.017,0.003,0.0542356486197147
"CYP3A5",1.27981890555201e-06,1.27505152496134,0.033,0.01,0.0547071389367261
"SGCB",1.2798189871987e-06,-1.56793812515799,0.076,0.161,0.0547071424267958
"NDUFA4",1.28091285224728e-06,-0.314304355507163,0.952,0.926,0.0547539007821623
"MYL5",1.28690585359016e-06,0.770135410167518,0.11,0.055,0.0550100776175649
"HLA-DPB1",1.29048080328356e-06,-0.903185950668974,0.229,0.132,0.0551628924171592
"C10orf99",1.29490435589545e-06,-5.84727107052421,0,0.053,0.055351981597107
"OSTC",1.30313967736999e-06,0.217887562432842,0.714,0.555,0.0557040086488575
"NMNAT1",1.30984559475113e-06,0.973290291524847,0.086,0.039,0.0559906597932317
"MRAS",1.32128386060568e-06,-1.88165018108964,0.06,0.139,0.0564795999054504
"PSMB4",1.32385795557544e-06,-0.75206477816691,0.464,0.501,0.0565896321690276
"VAPA",1.32461080634923e-06,0.316118206534438,0.807,0.69,0.0566218135282044
"LINC01287",1.32979641009337e-06,0.900887045351552,0.062,0.024,0.0568434773458513
"DEXI",1.33309895570404e-06,-1.31628131006212,0.11,0.2,0.0569846479605248
"ZBTB7B",1.33329914022133e-06,0.410642805158062,0.233,0.143,0.0569932050479009
"PRRC2C",1.3374549257105e-06,0.191755574605428,0.798,0.647,0.0571708482544212
"CTD-3113P16.11",1.34369218015366e-06,3.20399512206497,0.01,0.001,0.0574374659328485
"HIST1H4D",1.3454295021591e-06,1.82955766244456,0.021,0.005,0.0575117294992931
"RGS1",1.34936948815808e-06,-1.17382250307573,0.081,0.036,0.0576801481408053
"RP4-798A10.2",1.35088916266793e-06,2.78568779018164,0.01,0.001,0.0577451081474033
"ADRB2",1.35121763498387e-06,1.38606860472526,0.036,0.011,0.0577591490250205
"ANTXR1",1.35375133414603e-06,-1.48701819067415,0.062,0.144,0.0578674545294063
"TMCO3",1.35838479141241e-06,0.38613517561909,0.393,0.274,0.058065516293715
"HSPG2",1.36739297448738e-06,-2.55319984865127,0.019,0.085,0.0584505800874374
"SZT2",1.37125051163746e-06,0.774399330812753,0.093,0.043,0.0586154743704548
"LMO7-AS1",1.37482877424181e-06,-3.88716773291794,0.005,0.061,0.0587684307837406
"DDX11",1.37905485657419e-06,-1.43951480537405,0.038,0.111,0.0589490788991203
"ZDHHC11",1.38094639698368e-06,2.10251489790654,0.019,0.004,0.0590299346854644
"PNISR",1.39382136982576e-06,0.277782553656523,0.738,0.606,0.0595802882745718
"ARAP1",1.3971793240687e-06,0.79586601985189,0.074,0.032,0.0597238273866406
"HACL1",1.40690626871792e-06,0.882932181840258,0.126,0.067,0.0601396153626164
"CTD-2134P3.1",1.42448878740895e-06,0.926438910730966,0.067,0.027,0.0608911977065831
"SEPHS1",1.43046384969648e-06,-1.12200809393889,0.167,0.259,0.0611466077191258
"PREPL",1.43209676809143e-06,0.617814752753144,0.195,0.118,0.0612164084488363
"AMACR",1.43667957810884e-06,0.85441173594078,0.071,0.03,0.0614123052458406
"MIA2",1.43713366252197e-06,-1.62538757781936,0.029,0.099,0.0614317155381643
"RBMX2",1.44095046153364e-06,-1.12834447855547,0.229,0.314,0.0615948684287171
"OXCT1",1.44929102408414e-06,-1.52802132327316,0.124,0.211,0.0619513941155004
"WDR27",1.45178660839149e-06,1.18366971642162,0.062,0.025,0.0620580703623027
"RP11-259K5.2",1.45485880089672e-06,1.89310296255543,0.014,0.002,0.0621893943031314
"ARL6IP4",1.46434616451886e-06,0.208220128033793,0.75,0.595,0.0625949411485234
"CFAP57",1.46528966181375e-06,1.87882643934568,0.014,0.002,0.0626352718838905
"FOXI1",1.46553165877562e-06,-3.02603657374969,0.01,0.069,0.0626456162860228
"CTDSP2",1.47142949267617e-06,0.390226835277691,0.279,0.179,0.0628977250939357
"MANBAL",1.47183819631913e-06,0.33407020234174,0.343,0.233,0.0629151955398574
"MPHOSPH8",1.47858801914173e-06,0.240922285971573,0.562,0.415,0.0632037234662323
"AP4S1",1.47989433041305e-06,1.04884319128484,0.06,0.023,0.0632595630478363
"VPS36",1.48296774141743e-06,0.292843053033439,0.39,0.27,0.0633909390746294
"ANXA3",1.4844884485325e-06,0.50761728684586,0.288,0.192,0.06345594322097
"MPP3",1.49881618755932e-06,0.837050280900685,0.076,0.033,0.0640683967534107
"DNAJC3-DT",1.49903222116789e-06,-3.28664150704544,0.007,0.065,0.0640776313260426
"DCP1A",1.50983281467159e-06,0.473277819903236,0.193,0.116,0.0645393134959516
"NEURL1B",1.51011520337137e-06,-5.10470272309232,0,0.052,0.0645513844833127
"DUSP2",1.53685909005953e-06,-2.16636968787262,0.079,0.161,0.0656945786636845
"ATG101",1.54977931406523e-06,0.260068926073667,0.488,0.356,0.0662468665590323
"BTBD1",1.56563736107103e-06,0.5227497617135,0.126,0.066,0.0669247346363422
"MON1B",1.56787896294157e-06,0.628431601848292,0.138,0.075,0.0670205541499005
"FBXO28",1.57796988724871e-06,0.491866448421804,0.148,0.082,0.0674519008003335
"BLM",1.58948260705573e-06,-5.10206430034218,0,0.052,0.0679440235212042
"EWSR1",1.59433739167105e-06,0.18202770820845,0.645,0.475,0.0681515461443708
"ADK",1.59873207731408e-06,0.258221761577783,0.44,0.312,0.0683394013768678
"CMB9-22P13.1",1.61542203962206e-06,1.16084629890415,0.079,0.035,0.0690528305056846
"ZNF770",1.62237531175729e-06,0.383776253094113,0.236,0.148,0.0693500550763773
"RNF208",1.64155674204521e-06,1.19257971286438,0.05,0.018,0.0701699844954645
"LINC00865",1.64470498258306e-06,1.84047475782216,0.019,0.004,0.0703045591854955
