"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TFF3",0,4.77563345025101,0.845,0.121,0
"AGR2",0,4.11446492990056,0.812,0.095,0
"BCAM",0,3.20615447248096,0.779,0.153,0
"SELM",0,3.06818531884802,0.755,0.136,0
"MLPH",0,3.28894918270248,0.743,0.126,0
"TFF1",0,8.10988825987754,0.636,0.019,0
"AGR3",0,7.42136072754592,0.588,0.01,0
"ANKRD30A",0,6.82660181538726,0.569,0.01,0
"CA12",0,4.5120880408217,0.579,0.036,0
"C8orf4",0,5.55047634123372,0.526,0.031,0
"FBP1",0,5.00406970901269,0.512,0.024,0
"SERPINA1",0,6.38486812994082,0.526,0.041,0
"PLAT",0,6.65830913047004,0.495,0.01,0
"PRSS23",0,4.02829471119062,0.545,0.063,0
"RND1",0,4.40218653913634,0.517,0.052,0
"AFF3",0,6.84619391473248,0.443,0.005,0
"PGR",0,7.44680576517974,0.431,0.005,0
"ESR1",0,6.80335560314108,0.41,0.007,0
"ERBB4",0,3.91331901774418,0.433,0.036,0
"TBC1D9",0,3.9574030830919,0.433,0.041,0
"PDK4",0,3.91894410120109,0.417,0.034,0
"CAPN8",0,3.40239136514195,0.39,0.03,0
"DCDC2",0,8.09033729975684,0.364,0.004,0
"PIP",0,5.8805172540652,0.383,0.025,0
"SCUBE2",0,5.60372103031544,0.371,0.017,0
"SLC7A2",0,5.06198006489927,0.362,0.012,0
"KIF12",0,5.32896309079686,0.357,0.015,0
"RNASE4",0,4.10258596723783,0.36,0.027,0
"PI15",0,6.04356684200328,0.343,0.015,0
"INPP4B",0,4.46479667780126,0.333,0.012,0
"NTN4",0,4.28666687287641,0.34,0.023,0
"TMEM2",0,4.3100292369938,0.336,0.024,0
"PHYHD1",0,5.19775330910968,0.321,0.011,0
"SCGB3A1",0,4.69298143001442,0.321,0.016,0
"MYBPC1",0,5.39566475165383,0.312,0.011,0
"C16orf89",0,4.80317502942189,0.295,0.014,0
"VSIG2",0,5.53998643163617,0.276,0.009,0
"GDF15",0,6.36274896678422,0.269,0.013,0
"SERPINA3.1",0,7.13972210662133,0.255,0.004,0
"SOCS2",0,5.21738207016548,0.26,0.011,0
"DNALI1",0,6.47701110163648,0.25,0.003,0
"CITED1",0,8.47687913449845,0.252,0.005,0
"LRP2",0,6.14833568034046,0.25,0.005,0
"SERPINA5",0,6.56821550175091,0.24,0.003,0
"CCDC170",0,7.18465636512922,0.221,0.002,0
"KCNC2",0,10.9826359490885,0.212,0,0
"TGM2",0,4.66748960181909,0.219,0.009,0
"NEK10",0,5.62155051678644,0.21,0.005,0
"ZBTB16",0,4.95682403581852,0.212,0.007,0
"DIO2",0,5.14939899084385,0.205,0.008,0
"GSTM1",0,6.69140670110418,0.188,0.002,0
"UGT2B15",0,9.323564913005,0.183,0,0
"PDZK1",0,8.18163783666357,0.183,0.001,0
"LINC00993",0,6.89837022824246,0.162,0.001,0
"RP11-53O19.1",0,6.71702178533663,0.16,0.002,0
"ZNF385B",0,7.10876793754374,0.152,0.001,0
"NOVA1",0,5.9272183169899,0.14,0.002,0
"CHAD",0,5.95699572289178,0.14,0.003,0
"C1orf64",0,7.50292516761301,0.136,0.001,0
"TMEM26",0,8.48072046329612,0.133,0,0
"HPX",0,6.24059095263433,0.129,0.002,0
"HEPACAM2",0,6.07063150399697,0.114,0.002,0
"CYP4F22",0,6.46316369512953,0.11,0.001,0
"MUC6",0,5.91506669902281,0.102,0.001,0
"ARHGAP40",0,6.32298441278884,0.093,0.001,0
"ALB",0,5.24836881316415,0.086,0.001,0
"ADRA2A",0,7.2614955306459,0.086,0.001,0
"ZG16B",2.7646085563526e-306,2.1581349934535,0.748,0.124,1.18175957349848e-301
"IL6ST",6.01574182513846e-301,4.15452439086633,0.624,0.098,2.57148900057368e-296
"RP11-115D19.1",3.11710726688161e-296,8.31237021054653,0.06,0,1.33243867230121e-291
"AK5",8.63042310279696e-292,4.21634362974562,0.288,0.019,3.68916065952159e-287
"GREB1",8.41539956294974e-290,4.64026822690074,0.229,0.012,3.5972466971785e-285
"SLC40A1",1.12315236765083e-286,3.96074475201553,0.574,0.084,4.80102711076026e-282
"RP11-597D13.9",4.58088300268282e-277,6.0832933715512,0.095,0.002,1.9581442483268e-272
"ANKRD30B",7.38720774973223e-274,5.8226962323444,0.098,0.002,3.15773582470054e-269
"TFPI",4.59659896532116e-272,3.76928606644372,0.26,0.017,1.96486219371618e-267
"CLSTN2",7.98435339662151e-266,5.41869603747752,0.114,0.003,3.41299170291983e-261
"TAT",3.9350901371453e-264,7.73833774105265,0.083,0.001,1.68209363002413e-259
"ABCC8",1.5725190551049e-262,5.65612949337725,0.1,0.002,6.72188995295141e-258
"PVRL2",5.85766853476482e-262,3.14328454588871,0.669,0.124,2.50391899187057e-257
"PHGR1",5.24337729344104e-254,6.22589833733151,0.119,0.003,2.24133405785431e-249
"SPDEF",1.03325751348861e-251,2.31919584871611,0.75,0.145,4.41676256715841e-247
"AR",1.97970156476879e-243,2.30379103952198,0.648,0.11,8.46243230876069e-239
"SYTL2",5.53715567246819e-243,3.51251378889222,0.298,0.025,2.36691256375325e-238
"BPIFB2",2.10829332215637e-241,5.52179710892303,0.086,0.001,9.01211063488963e-237
"AZGP1",4.17670808747366e-237,3.83891276303529,0.936,0.387,1.78537563907149e-232
"SERPINA3",1.0993469380305e-236,4.8440330003584,0.19,0.01,4.69926842130516e-232
"AMBP",1.28254690287644e-230,6.05343603175939,0.076,0.001,5.48237499103563e-226
"DACH1",9.98582376549299e-230,5.22401248049846,0.145,0.006,4.26854022679763e-225
"CLEC3A",2.48299418602313e-227,5.26635372667568,0.131,0.005,1.06138069475745e-222
"CCDC74A",2.65635942848755e-227,4.53311683395034,0.369,0.042,1.13548740130129e-222
"FRMPD2",3.92425297610424e-225,6.18905891101955,0.064,0.001,1.67746117716552e-220
"TMEM150C",1.90896040485415e-224,4.48458559041516,0.183,0.01,8.16004214658957e-220
"XBP1",9.8197421094289e-221,3.43248886095192,0.988,0.685,4.19754696209648e-216
"BATF",1.88414094222414e-219,3.82319898802107,0.574,0.107,8.05394887163131e-215
"SELK",2.62136075427056e-218,2.78663824328024,0.679,0.146,1.12052686802049e-213
"TNFSF11",3.06566029614989e-218,6.28873971193427,0.062,0.001,1.31044715019223e-213
"IRS1",3.33819714790804e-214,4.37550951628251,0.195,0.012,1.42694575284477e-209
"CTA-392E5.1",2.7994525617576e-212,8.77505813942514,0.045,0,1.1966539920489e-207
"FAM198B",1.61877510023919e-209,4.77661041040812,0.119,0.004,6.91961604348245e-205
"FOXA1",9.81917579316906e-209,2.67090953547227,0.46,0.066,4.19730488454805e-204
"TMC5",2.19900428194243e-206,1.78597124621759,0.619,0.109,9.39986370359113e-202
"LPAR6",1.35887660803088e-205,3.685368652088,0.193,0.012,5.8086539486888e-201
"SLC39A6",5.23233545394336e-203,3.36412228737643,0.855,0.321,2.23661411314263e-198
"AGTR1",3.3479205040597e-202,5.01930144339397,0.088,0.002,1.43110209866536e-197
"ACADSB",1.14721146293557e-200,3.3819907237386,0.376,0.048,4.90387011946439e-196
"SEP15",1.53677685853702e-198,2.27360463124756,0.679,0.153,6.56910635950234e-194
"NXNL2",2.10015031219678e-198,5.79081668675898,0.1,0.003,8.97730252451636e-194
"MISP",2.5473838619556e-196,3.67582662153277,0.167,0.009,1.08890470563154e-191
"SLC7A8",2.83176627560899e-196,3.54854544289718,0.229,0.018,1.21046681217182e-191
"AC090498.1",4.6318809203245e-188,2.29381169325437,0.707,0.171,1.97994381820191e-183
"CDC14A",3.83580401755142e-187,3.92993672590273,0.226,0.019,1.63965278534253e-182
"THSD4",1.46748739215422e-184,3.0788985924101,0.36,0.047,6.27292160650242e-180
"LINC00160",6.25985251955742e-184,6.00281653899782,0.062,0.001,2.67583655801001e-179
"TMPRSS11E",2.86866622155183e-181,6.451591443209,0.057,0.001,1.22624006306455e-176
"ELOVL5",3.06944072445997e-181,2.7323467443885,0.633,0.15,1.31206313207766e-176
"HMGCS2",3.40213713307691e-181,4.81496882972418,0.126,0.006,1.45427753890505e-176
"SERPINA4",5.96516895301022e-179,9.63753439873918,0.031,0,2.54987112065375e-174
"ITIH2",6.01818556616892e-179,10.0916880846236,0.031,0,2.57253360211457e-174
"CFB",3.29382041835554e-178,3.40207610653648,0.321,0.039,1.40797647603026e-173
"REEP6",2.95988721843694e-177,2.00018162537012,0.555,0.103,1.26523339039305e-172
"KCNE4",5.93946081970971e-177,6.28578223052145,0.069,0.001,2.53888192199311e-172
"ATP1A4",8.73757072839605e-177,6.14237861023155,0.04,0,3.73496198356017e-172
"IGFBP4",2.15202406244242e-176,3.95658652751081,0.552,0.122,9.19904205731638e-172
"RARRES3",1.93536430581726e-175,2.68556164316062,0.721,0.204,8.27290826164644e-171
"AC008268.1",2.11572886380755e-174,6.08185709042216,0.064,0.001,9.04389460123175e-170
"SEPW1",2.92556613734555e-173,1.81793651982071,0.8,0.221,1.25056250106973e-168
"TTC6",3.86001175052247e-173,3.8992406886309,0.183,0.013,1.65000062287834e-168
"ERO1B",2.15535580597313e-172,3.40182168831943,0.24,0.023,9.21328392821273e-168
"ATP5G2",4.35614452525785e-172,1.78119019542784,0.838,0.254,1.86207753876672e-167
"IL20RA",1.36189644221235e-171,2.8211125992623,0.443,0.074,5.82156253188091e-167
"MYEOV2",1.58371282149545e-171,2.15620192177161,0.719,0.19,6.76973882676447e-167
"UGDH",1.85313153592043e-171,3.66290516115085,0.567,0.133,7.92139606344546e-167
"SERPING1",2.21193633991144e-165,2.57959607274981,0.431,0.072,9.45514307858542e-161
"YBX1",2.35191884068717e-165,-1.92363484554041,0.855,0.969,1.00535122764014e-160
"WNK4",9.10739314220239e-165,5.52268284037291,0.076,0.002,3.89304627256583e-160
"IRF1",3.18433950061184e-161,2.89203644746568,0.702,0.207,1.36117776293154e-156
"PRR15",5.21203774821213e-161,3.29773461447034,0.214,0.019,2.22793765585076e-156
"MGP",5.41073743108225e-161,3.2259012428105,0.9,0.517,2.31287382229042e-156
"FOSB",2.69263294868347e-159,2.97031787847693,0.84,0.354,1.15099288024424e-154
"KIAA1324",1.40256081314265e-156,2.57911402849021,0.724,0.237,5.99538645185956e-152
"SMIM14",3.76455814081718e-154,2.15237525532599,0.783,0.271,1.60919802287371e-149
"MAGED2",2.72896604857021e-153,3.13387518824805,0.8,0.318,1.16652382712182e-148
"CLU",1.15731014258815e-152,1.9312951286888,0.643,0.17,4.94703793550731e-148
"UQCRH",2.93941718651385e-151,-1.87187926595032,0.867,0.956,1.25648327054721e-146
"PREX1",4.8370744872682e-151,2.85830337279444,0.324,0.045,2.06765586032767e-146
"KRT18",8.15171605835191e-151,2.05241853142608,0.979,0.737,3.48453254630311e-146
"DNAJC12",1.08496436758292e-150,3.39085264444524,0.393,0.068,4.63778868566997e-146
"EFHD1",6.92790858239638e-150,1.98353600417718,0.81,0.284,2.96140380263116e-145
"CTD-2015H6.3",1.50712894332002e-149,2.5331783166011,0.383,0.063,6.44237338111578e-145
"DYNLRB2",2.34582301039412e-149,4.2340161583937,0.107,0.005,1.00274550402307e-144
"PRSS22",4.01620852127517e-149,2.71542247733932,0.433,0.081,1.71676849450429e-144
"AP004372.1",6.69796170699919e-149,9.35189143161423,0.024,0,2.86311071127388e-144
"TOX3",2.07396753083254e-147,3.31893849504949,0.262,0.031,8.86538160729679e-143
"CSRNP1",5.92253330432628e-147,3.02302854265191,0.471,0.099,2.53164608626731e-142
"NFIA",2.40798127528863e-143,2.04536573825251,0.588,0.142,1.02931567593488e-138
"WHSC1L1",4.71533570746186e-143,2.30687832623498,0.488,0.103,2.01561740151165e-138
"C11orf31",9.8633948690145e-142,1.51980463305416,0.779,0.225,4.21620677070894e-137
"EVL",1.26470812245685e-140,2.70133940157661,0.521,0.126,5.40612134025403e-136
"FAM105A",2.19956650262113e-140,4.71607140764202,0.088,0.003,9.40226697210427e-136
"CXCL2",5.13403891728897e-140,3.85236498271288,0.474,0.104,2.19459627558434e-135
"CTD-3252C9.4",3.42856714687487e-139,2.36727774541431,0.433,0.083,1.46557531260313e-134
"KCNJ3",1.57585586299806e-138,6.34593029706778,0.038,0,6.7361534719715e-134
"CPA6",1.22196478390137e-137,5.78969596700321,0.045,0.001,5.22341066526479e-133
"CFD",9.15551656538137e-136,3.7438282724316,0.262,0.034,3.91361711103792e-131
"ANGPTL3",3.68340902564151e-135,9.15966055141925,0.024,0,1.57451002210072e-130
"RPS2",5.76249612939023e-135,-1.42977993047868,0.988,0.994,2.46323659546915e-130
"SFTA2",7.66151162985916e-135,5.60542230927475,0.06,0.001,3.2749897612996e-130
"RP11-123K19.1",9.12466643633494e-135,5.84909759740065,0.057,0.001,3.90042991487573e-130
"MS4A7",1.58355002239207e-134,4.58906535353627,0.117,0.007,6.76904292571714e-130
"MGLL",1.77514490229854e-134,3.47689127472083,0.379,0.07,7.58803439936533e-130
"CSTB",1.87621682183749e-133,-2.33702750098128,0.879,0.956,8.02007642662651e-129
"VIMP",7.12883496296615e-133,1.86132818326138,0.629,0.168,3.04729179326951e-128
"ANXA9",6.22708576841201e-132,3.8087560013498,0.152,0.012,2.6618300825654e-127
"H2AFJ",6.59586812652069e-132,2.04753355618643,0.862,0.407,2.81946978936253e-127
"IFITM1",1.77810083000129e-131,2.76197871279274,0.412,0.081,7.60066980792353e-127
"IFITM2",6.33357970477477e-131,2.07538895182098,0.607,0.171,2.70735198060302e-126
"MTRNR2L12",1.4982180870458e-129,1.93870175099061,0.774,0.27,6.40428303488597e-125
"ANKFN1",1.11100007646815e-128,6.6778160547773,0.038,0,4.74908092687076e-124
"AREG",2.22228366182737e-128,5.25246754806827,0.629,0.225,9.4993737408473e-124
"TSC22D1",3.71691362227241e-128,1.93661017797219,0.91,0.466,1.58883189697657e-123
"FLT3",5.80093095884e-128,7.84855707324531,0.026,0,2.47966594766574e-123
"ITPR1",6.83202845915833e-128,3.04711720057625,0.25,0.032,2.92041888515182e-123
"RHOH",8.09160665452763e-128,2.15778453961289,0.171,0.015,3.45883818054438e-123
"SYBU",1.03945155187979e-127,3.18581456663018,0.21,0.023,4.44323960366534e-123
"TPTEP1",1.73362996515235e-126,3.3775183175136,0.171,0.016,7.41057464904022e-122
"PNPLA2",2.94744468694717e-125,2.34273779792545,0.629,0.196,1.25991470588244e-120
"GAPDH",3.01488217742143e-125,-1.43776381750934,0.983,0.992,1.28874153556056e-120
"GABARAP",3.22042665133614e-125,1.87002035461009,0.693,0.219,1.37660357638015e-120
"STOM",9.2876702788912e-125,2.78686094191066,0.593,0.187,3.97010753741483e-120
"COL4A6",1.04669630301953e-124,5.1838818510714,0.06,0.002,4.47420801688728e-120
"GSTM3",3.2326095470233e-124,2.68114326310869,0.702,0.267,1.38181127697058e-119
"RP11-993B23.3",3.25828064943125e-124,7.37110880420363,0.031,0,1.39278464640588e-119
"FILIP1L",4.08690512515771e-124,3.73286135431287,0.202,0.022,1.74698846479991e-119
"CRACR2B",6.43889466542647e-124,2.04792744863639,0.693,0.234,2.7523699136832e-119
"ZFP36",2.43804038096428e-123,2.95858077474456,0.907,0.602,1.04216474124699e-118
"ATP5L",7.7926860742365e-123,1.25925940035374,0.833,0.261,3.33106158929314e-118
"KRT14",2.00803541679504e-122,-5.50128400597682,0.069,0.692,8.58354819263206e-118
"FMO5",8.45853763966415e-122,4.10613002934674,0.117,0.007,3.61568649945084e-117
"AC020571.3",1.32112583022626e-121,5.95613058950414,0.036,0,5.64728447388519e-117
"FTO",1.34739070933746e-121,2.50397594307663,0.44,0.098,5.75955632613389e-117
"LINC00504",1.63067234981526e-121,4.14625449783801,0.11,0.007,6.9704720265203e-117
"SERTAD1",1.93961688784139e-121,2.4720770857021,0.652,0.219,8.2910863487668e-117
"KIF16B",5.13365610584947e-121,2.59525818810547,0.39,0.078,2.19443263900641e-116
"RP11-680F20.6",8.04060811010605e-121,3.49018281424147,0.198,0.022,3.43703834274593e-116
"SELT",1.82120125384993e-120,1.83225846311266,0.54,0.138,7.78490687970692e-116
"BST2",1.02418291816347e-119,1.82040578779354,0.757,0.277,4.37797230198157e-115
"SEPP1",1.34160284612502e-119,0.823504081279653,0.64,0.163,5.73481552604602e-115
"FAM81B",1.57318634040378e-119,6.6086424496021,0.033,0,6.72474233069001e-115
"FGL1",2.84872242206522e-119,5.31650050638415,0.06,0.002,1.217714886536e-114
"DDIT4",4.37920959117965e-119,-4.25194835205065,0.3,0.8,1.87193693184565e-114
"GPX1",1.24756842021315e-118,1.09993596476286,0.683,0.196,5.33285596904312e-114
"GNB2L1",1.44839329964221e-118,1.29210059081477,0.85,0.288,6.19130199865057e-114
"GLTSCR2",1.58290190859207e-118,1.3873644950638,0.671,0.194,6.76627249846768e-114
"EREG",8.18811433151833e-118,4.93562588629662,0.136,0.011,3.50009135215083e-113
"ATP5B",1.20333219273523e-117,1.21198038113917,0.731,0.223,5.143763791066e-113
"ATP6V0C",2.50821842747799e-117,1.91519673635668,0.571,0.158,1.07216304900974e-112
"KLF6",3.69988992462342e-117,2.75943009933935,0.886,0.526,1.58155494717953e-112
"BEX4",7.65153514887941e-117,2.12758967073126,0.521,0.135,3.27072521473999e-112
"CTA-292E10.6",7.9786914588907e-117,3.31525738181479,0.205,0.024,3.41057145101742e-112
"PGLYRP2",4.246633488289e-116,4.49051025686438,0.038,0.001,1.81526595090402e-111
"RABEP1",5.70409825768621e-116,2.28910602891535,0.564,0.165,2.43827384123055e-111
"WLS",6.04950598174627e-116,2.86225673466492,0.286,0.045,2.58592182695726e-111
"TFAP2B",2.27091248006384e-115,1.67147088936695,0.479,0.108,9.7072424872809e-111
"ATHL1",3.21305073539069e-115,4.17458071849137,0.1,0.006,1.3734506673501e-110
"SEMA3B",4.55781813342403e-115,3.99002205929993,0.145,0.012,1.94828493931343e-110
"ATF3",4.7351281695796e-115,2.39080579275317,0.843,0.496,2.02407788736849e-110
"TUG1",1.22408094348705e-114,2.66666567376221,0.286,0.046,5.23245640102974e-110
"LINC01016",5.09219837661148e-114,8.45260161329665,0.024,0,2.17671111806634e-109
"KRT6B",4.05920684681304e-113,-6.34732247138162,0.036,0.643,1.7351485587387e-108
"TTC39A",5.72220152391157e-113,2.45879635714561,0.436,0.101,2.44601226341124e-108
"C19orf43",1.9572809132813e-112,1.20103310227842,0.776,0.238,8.36659299191225e-108
"RP11-321G12.1",3.36149875571375e-112,5.50815160895553,0.048,0.001,1.4369062581174e-107
"C14orf166",3.39524872417159e-112,1.28530732745795,0.721,0.217,1.45133301963439e-107
"DUSP4",4.11643007575632e-112,2.10174743515479,0.488,0.124,1.7596092001828e-107
"MUCL1",3.53025201063511e-111,3.46404535669685,0.536,0.143,1.50904152446608e-106
"SH3BGRL",7.54309045203524e-111,2.18378317626206,0.743,0.329,3.22436944462698e-106
"AKR7A3",9.34584035024526e-111,3.5422931120875,0.174,0.018,3.99497291611584e-106
"IGSF1",2.83531595146949e-110,6.18128727736861,0.067,0.003,1.21198415661515e-105
"EBLN3",4.24110820945668e-110,2.34125187580152,0.329,0.061,1.81290411521435e-105
"MIR22HG",8.65436082477303e-110,2.74638389715012,0.298,0.051,3.69939307815748e-105
"C21orf59",2.64072755724455e-109,2.0114117517289,0.419,0.093,1.12880540161975e-104
"PPP2R4",2.76689154630855e-109,2.01633665992119,0.398,0.085,1.18273546038505e-104
"ATP5F1",3.81169579909971e-109,1.40514592069897,0.629,0.183,1.62934748628316e-104
"RIC3",9.47668481643168e-109,2.56682188464213,0.279,0.045,4.05090369163189e-104
"ATP5E",1.60148632936926e-108,1.2096933093048,0.845,0.281,6.84571346352184e-104
"TCEB2",1.62608073434956e-108,1.32812919548954,0.781,0.257,6.95084470705065e-104
"ATP5J",2.41904719010761e-108,1.19719859989504,0.745,0.232,1.0340459118834e-103
"TCEB1",1.01299849653878e-107,1.37214672841841,0.617,0.178,4.33016337330468e-103
"EBF4",1.12952100822874e-107,3.64535302942292,0.133,0.011,4.82825050177456e-103
"DEGS2",1.99271703853342e-107,1.78992840726966,0.524,0.139,8.51806825291495e-103
"DPP7",5.29511675948789e-107,1.63240307893269,0.669,0.231,2.26345061001069e-102
"RPLP1",6.23082024590726e-107,-1.07810280562964,0.995,0.998,2.66342642231552e-102
"C1orf168",1.23963836897376e-106,4.83112363699341,0.067,0.003,5.29895817201524e-102
"C4A",1.39473005927904e-106,4.08530623175039,0.098,0.006,5.96191311139419e-102
"RP1-313I6.12",1.53657708519214e-106,3.54729138428239,0.169,0.018,6.56825240836232e-102
"RHOB",1.90479225677775e-106,2.03283856362227,0.845,0.41,8.14222498082218e-102
"SERPINA11",2.13352485051563e-106,4.32167733050942,0.067,0.003,9.11996532601409e-102
"CREB3L1",3.24890584498568e-106,2.60090103528185,0.19,0.022,1.38877729249758e-101
"RUNX1",3.26713091959818e-106,2.35469886142315,0.643,0.236,1.39656778289144e-101
"ATP5MC3",3.27666630262352e-106,-3.93571413834249,0.102,0.661,1.40064377771945e-101
"LINC00657",3.80847247425481e-106,1.57286308790032,0.533,0.143,1.62796964384496e-101
"RPL39",4.42584334272173e-106,-1.61347568153457,0.983,0.993,1.89187099527983e-101
"RP11-114M1.1",1.04675600696963e-105,5.99522419973209,0.029,0,4.47446322739238e-101
"ESRRB",1.05451739323009e-105,7.14650063499649,0.024,0,4.50764004910136e-101
"RP1",1.2949525336976e-105,5.01983004862775,0.064,0.002,5.53540410054375e-101
"WSB1",1.95322932351009e-105,1.80925957312218,0.774,0.336,8.34927406627623e-101
"ALDOA",2.11146061932689e-105,1.06841001748069,0.879,0.355,9.02564956337473e-101
"CCDC53",3.11501534099507e-105,2.01524778153787,0.371,0.078,1.33154445766175e-100
"RPS27A",7.64020907970238e-105,-1.03745337307632,0.995,0.997,3.26588377320958e-100
"LRIG1",1.5300881914728e-104,2.47386818726659,0.324,0.061,6.54051498326961e-100
"MESDC2",1.89431508987935e-104,1.57502163720029,0.519,0.136,8.09743928319828e-100
"AASS",4.12386041614067e-104,4.30666067364336,0.088,0.005,1.76278537348349e-99
"SIGIRR",4.87156456726603e-104,2.06568545726794,0.455,0.115,2.08239898992354e-99
"CAMK2N1",8.57963273633566e-104,2.21674819469903,0.31,0.056,3.66744980947404e-99
"ARHGEF38",9.05089548204428e-104,2.54109618255614,0.281,0.047,3.86889578275465e-99
"LINC00493",1.1583553907907e-103,1.50788355908312,0.576,0.165,4.95150595347392e-99
"STC2",2.25615807858158e-103,3.02186583497324,0.571,0.205,9.64417332270484e-99
"RP11-983P16.4",2.32181214242383e-103,3.19419668998092,0.138,0.012,9.92481818400492e-99
"CDKN2A",2.4000723591889e-103,-4.17751479300088,0.138,0.664,1.02593493065889e-98
"ACADVL",2.7696294774492e-103,2.10051274273444,0.686,0.27,1.18390581643043e-98
"STARD10",3.53537159561351e-103,1.74092714705418,0.688,0.243,1.51122994226095e-98
"ATP5I",4.08171052535162e-103,1.6047678946424,0.574,0.166,1.7447679811668e-98
"CTNND2",2.38116149497299e-102,3.795064743771,0.105,0.007,1.01785129264115e-97
"MFSD7",3.89468759525601e-102,4.36249824781328,0.057,0.002,1.66482315946813e-97
"PEBP4",6.52469172494983e-102,5.64561829391336,0.036,0.001,2.78904472474705e-97
"STK32B",7.33794106515644e-102,5.87948233063814,0.033,0,3.13667628771177e-97
"UBA52",7.37247555523246e-102,-1.03021369354392,0.967,0.977,3.15143840083967e-97
"MMEL1",8.08824568748492e-102,2.81107033482803,0.198,0.025,3.4574015015723e-97
"GPR160",1.71922804271427e-101,2.23849443217611,0.424,0.103,7.34901219138644e-97
"MGEA5",2.65138798544382e-101,2.3280178417117,0.324,0.063,1.13336230825781e-96
"GAS2",3.85833113984305e-101,4.3083725234437,0.067,0.003,1.64928222903731e-96
"C4orf32",9.6473868240643e-101,3.12742581448778,0.181,0.022,4.12387197181453e-96
"LINC00869",1.03723262264109e-100,2.74762338707799,0.193,0.024,4.43375456874161e-96
"CCDC64B",1.2889441041976e-100,1.88380850751134,0.376,0.081,5.50972046780307e-96
"ATP5G3",1.32197755973249e-100,1.1733465476989,0.776,0.254,5.6509252768325e-96
"MT-ATP8",3.20152089885755e-100,1.72026043739486,0.664,0.232,1.36852212342565e-95
"ATP5H",3.6053257580039e-100,1.20022745072219,0.69,0.218,1.54113254851635e-95
"CALML5",4.88707624478234e-100,-3.75667364598001,0.164,0.687,2.08902961159466e-95
"CSF3R",9.90439864991442e-100,3.89971624077093,0.079,0.004,4.23373424689242e-95
"CIRBP",1.05010510357716e-99,1.57362326403122,0.902,0.538,4.48877927575094e-95
"PKIB",2.67935699174118e-99,2.31606363731975,0.438,0.111,1.14531793968968e-94
"GATA3",3.80405706156551e-99,2.59906753227573,0.621,0.24,1.62608223153679e-94
"DUSP10",7.43021410512279e-99,2.46703097301066,0.326,0.065,3.17611932137579e-94
"CFAP69",7.93722328714075e-99,3.64297671871977,0.143,0.014,3.39284546632118e-94
"GALNT6",1.03190786181682e-98,2.44176044955447,0.395,0.096,4.41099334612218e-94
"TMBIM6",1.96472645938694e-98,1.38940862387495,0.931,0.682,8.39841972329542e-94
"ENPP1",1.00373314219633e-97,2.83589233291843,0.198,0.026,4.29055768963243e-93
"STMN1",1.17294828203858e-97,-2.55340887497298,0.457,0.811,5.01388472640213e-93
"ATP5A1",1.18313645190591e-97,1.16133312097262,0.698,0.223,5.05743507731699e-93
"ECI2",1.84333468991274e-97,1.95778609618058,0.414,0.101,7.87951846550102e-93
"TUBB2A",2.06768962876585e-97,2.12976788986852,0.438,0.114,8.83854608712252e-93
"ZNF385A",2.41542414414897e-97,2.27054296834496,0.31,0.059,1.03249720465792e-92
"SMOC2",3.60488909436227e-97,3.59136230802923,0.129,0.011,1.5409458922761e-92
"RPS20",4.40472200242729e-97,-1.74052854435028,0.733,0.908,1.88284246715757e-92
"COL4A5",5.05263716179515e-97,3.35591782416782,0.148,0.015,2.15980028118096e-92
"ATPIF1",6.50853482672555e-97,1.10283430998534,0.712,0.23,2.7821382970321e-92
"REEP5",7.08927894439774e-97,1.49896578496283,0.881,0.473,3.03038317757226e-92
"ARMT1",1.97595668785558e-96,2.75830263777267,0.329,0.069,8.44642445790746e-92
"KIAA0040",3.57090733684971e-96,2.42163876246156,0.407,0.1,1.52642005020978e-91
"CYP4Z1",6.21084044663646e-96,4.09209902194086,0.212,0.031,2.65488585731922e-91
"RP11-382A20.3",7.6326753128169e-96,2.80420059914536,0.16,0.018,3.26266338921671e-91
"ATP5D",9.81540645244332e-96,1.23162957152717,0.688,0.224,4.19569364216142e-91
"VMP1",1.01261119133464e-95,1.56827203959799,0.893,0.507,4.32850779847906e-91
"APOL4",1.57447527277172e-95,2.79257352171934,0.155,0.017,6.73025200099001e-91
"APOA1BP",1.75640478946542e-95,1.29404723142547,0.612,0.187,7.5079279130489e-91
"ADCY1",1.81592358588084e-95,4.31675369315524,0.062,0.003,7.76234696020623e-91
"FAM46C",1.89905074923758e-95,3.0134825743476,0.148,0.015,8.11768233269095e-91
"SHFM1",2.45688446298545e-95,0.948366143253613,0.76,0.243,1.05021983254776e-90
"CYP2A7",2.60537534026975e-95,7.91279328975086,0.019,0,1.11369374295171e-90
"GRIK3",2.63528882988531e-95,7.48551914094063,0.019,0,1.12648056322278e-90
"KRT17",9.49735932566031e-95,-3.65777005464365,0.186,0.68,4.05974121734675e-90
"SIDT1",1.0882174826825e-94,2.49341629160883,0.226,0.034,4.65169445147463e-90
"PTHLH",1.10043359212027e-94,4.29460097982339,0.295,0.059,4.70391343287731e-90
"DNAH5",4.65131986377572e-94,3.5911116280061,0.098,0.007,1.98825318896957e-89
"ARSA",5.69223635640559e-94,1.96545580309173,0.383,0.089,2.43320335290913e-89
"RP11-108M9.4",5.69389876334995e-94,3.52924640982478,0.114,0.009,2.43391396538157e-89
